"Pick","Player","Yrs","Draft"
"73","Larry Harris","",1978
"74","Mel Davis","",1978
"75","Jeff Covington","",1978
"76","Leroy McDonald","",1978
"77","Derrick Jackson","",1978
"78","Stan Rome","",1978
"79","Erving Giddings","",1978
"80","Otis Howard","1",1978
"81","Lawrence Boston","1",1978
"82","Harold Robertson","",1978
"83","Billy Lewis","",1978
"84","Walter Jordan","1",1978
"85","Bob Miller","1",1978
"86","Rich Adams","",1978
"87","Brett Vroman","1",1978
"88","Wayne Smith","",1978
"89","Cecile Rose","",1978
"90","David Thompson","",1978
"91","Gary Goodner","",1978
"92","James Sparrow","",1978
"93","Derick Clairborne","",1978
"94","Greg Tynes","",1978
"95","Dave Caligaris","",1978
"96","Duck Williams","1",1978
"97","Ron Anthony","",1978
"98","Chris Potter","",1978
"99","Ken Koenigs","",1978
"100","Greg Green","",1978
"101","Bubba Wilson","1",1978
"102","Roger Dickens","",1978
"103","Russ Coleman","",1978
"104","Carlos Terry","3",1978
"105","Ralph Drollinger","1",1978
"106","Michael Edwards","",1978
"107","Andre Wakefield","2",1978
"108","Eugene Parker","",1978
"109","Mark Haymore","",1978
"110","Clay Johnson","3",1978
"111","Golie Augustus","",1978
"112","Bob Miscevicious","",1978
"113","Eddie Joe Chavez","",1978
"114","Jim Krivacs","",1978
"115","Sherman Dillard","",1978
"116","Dave Winey","",1978
"117","Audie Matthews","",1978
"118","John Douglas","2",1978
"119","John Shoemaker","",1978
"120","Gerald Glover","",1978
"121","Ed Warren","",1978
"122","Buzz Hartnett","",1978
"123","Ron Bell","",1978
"124","Dave Kyle","",1978
"125","Archie Aldridge","",1978
"126","Kim Stewart","",1978
"127","Robert Heard","",1978
"128","Charles Thompson","",1978
"129","Harry Morgan","",1978
"130","Osborne Lockhart","",1978
"131","Tim Evans","",1978
"132","Doug Jemison","",1978
"133","Stan Pietkiewicz","3",1978
"134","Stan Stewart","",1978
"135","Ollie Matson","",1978
"136","Charles McMilliam","",1978
"137","Steve Balkun","",1978
"138","Herb Entzminger","",1978
"139","Willie Howard","",1978
"140","Jarvis Reynolds","",1978
"141","Jim DeWeese","",1978
"142","Rick Bernard","",1978
"143","Tony Smith","",1978
"144","Gary Pember","",1978
"145","Ed Hopkins","",1978
"146","Kim Anderson","1",1978
"147","Larry Paige","",1978
"148","Jack Gilloon","",1978
"149","Steve Malovic","1",1978
"150","Hector Olivencia","",1978
"151","Anthony Murray","",1978
"152","Walter Reason","",1978
"153","Bruce Campbell","",1978
"154","Felton Young","",1978
"155","Ron Hammye","",1978
"156","Kim Fisher","",1978
"157","Earl Evans","1",1978
"158","Carl Kilpatrick","1",1978
"159","Chubby Cox","1",1978
"160","Ed Murphy","",1978
"161","Roland Martin","",1978
"162","Greg Sanders","",1978
"163","Tony Searcy","",1978
"164","Tom Zaligaris","",1978
"165","Nestor Cora","",1978
"166","Larry Vaculik","",1978
"167","George Fowler","",1978
"168","Henry Taylor","",1978
"169","Alan Cunningham","",1978
"170","Mark Wickman","",1978
"171","Frank Sowinski","",1978
"172","Bobby White","",1978
"173","Les Anderson","",1978
"174","Ulice Payne","",1978
"175","Chad Nelson","",1978
"176","Joe Ponsetto","",1978
"177","Maurice Robinson","",1978
"178","Danny Fields","",1978
"179","Bobby Humbles","",1978
"180","Steve Bayless","",1978
"181","Tim Claxton","",1978
"182","Gary Rosenberger","",1978
"183","Tom Schneeburger","",1978
"184","Nate Stokes","",1978
"185","Rick Taylor","",1978
"186","Paul Cozens","",1978
"187","Michael Vicens","",1978
"188","Walter Harrigan","",1978
"189","Dave Grauzer","",1978
"190","Rickey Williams","1",1978
"191","Mark Tucker","",1978
"192","Marshall Lester","",1978
"193","Mike Muff","",1978
"194","Gary Winston","",1978
"195","Ernest Simons","",1978
"196","Tom Anderson","",1978
"197","Steve Connor","",1978
"198","Phil Taylor","",1978
"199","Lewis Cohen","",1978
"200","Larry Brewster","",1978
"201","Dennis James","",1978
"202","Tim Workington","",1978
"1","Magic Johnson","13",1979
"2","Dave Greenwood","12",1979
"3","Bill Cartwright","15",1979
"4","Greg Kelser","6",1979
"5","Sidney Moncrief","11",1979
"6","James Bailey","9",1979
"7","Vinnie Johnson","13",1979
"8","Calvin Natt","11",1979
"9","Larry Demic","3",1979
"10","Roy Hamilton","2",1979
"11","Cliff Robinson","11",1979
"12","Jim Paxson","11",1979
"13","Dudley Bradley","9",1979
"14","Brad Holland","3",1979
"15","Phil Hubbard","10",1979
"16","Jim Spanarkel","5",1979
"17","Lee Johnson","1",1979
"18","Reggie King","6",1979
"19","Wiley Peck","1",1979
"20","Larry Knight","",1979
"21","Sly Williams","7",1979
"22","Kyle Macy","7",1979
"23","Tico Brown","",1979
"24","Johnny High","4",1979
"25","Ollie Mack","3",1979
"26","Bruce Flowers","1",1979
"27","Reggie Carter","2",1979
"28","Danny Salisbury","",1979
"29","Tony Price","1",1979
"30","Gary Garland","1",1979
"31","Edgar Jones","6",1979
"32","Tony Zeno","1",1979
"33","Lawrence Butler","",1979
"34","Kim Goetz","",1979
"35","James Bradley","",1979
"36","Clint Richardson","8",1979
"37","Bernard Toone","1",1979
"38","Larry Wilson","",1979
"39","Victor King","",1979
"40","Andrew Fields","",1979
"41","Mark Young","",1979
"42","Paul Mokeski","12",1979
"43","Johnny Moore","9",1979
"44","Joe DeSantis","",1979
"45","Arvid Kramer","1",1979
"46","Andrew Parker","",1979
"47","Calvin Garrett","4",1979
"48","Terry Duerod","4",1979
"49","Cedrick Hordges","2",1979
"50","Geoff Huston","8",1979
"51","John Gerdy","",1979
"52","Larry Gibson","",1979
"53","Wayne Kreklow","1",1979
"54","Cheese Johnson","1",1979
"55","Tom Channel","",1979
"56","Mickey Fox","",1979
"57","Don March","",1979
"58","Earl Cureton","12",1979
"59","Ricardo Brown","",1979
"60","Walter Daniels","",1979
"61","Ernesto Malcolm","",1979
"62","Terry Crosby","1",1979
"63","Sylvester Norris","1",1979
"64","Al Green","",1979
"65","Bill Laimbeer","14",1979
"66","Charles Floyd","",1979
"67","Greg Deane","1",1979
"68","Nick Galis","",1979
"69","Eugene Robinson","",1979
"70","Rick Swing","",1979
"71","Larry Rogers","",1979
"72","George Maynor","",1979
"73","James Donaldson","14",1979
"74","Don Newman","",1979
"75","Ron Ripley","",1979
"76","Sammy Drummer","",1979
"77","Lionel Garrett","",1979
"78","Daryll Robinson","",1979
"79","Ray White","",1979
"80","Lionel Green","",1979
"81","Ricky Reed","",1979
"82","Jerry Sichting","10",1979
"83","Mike Niles","1",1979
"84","Al Daniel","",1979
"85","John McCullough","1",1979
"86","Malcolm Cesare","",1979
"87","Richie Allen","",1979
"88","Lamont Reid","",1979
"89","Wolfe Perry","",1979
"90","Jimmy Allen","",1979
"91","Matt Simpkins","",1979
"92","Flintie Ray Williams","",1979
"93","Larry Washington","",1979
"94","Johnny Green","",1979
"95","Jim Abromaitis","",1979
"96","George Lett","",1979
"97","Jim Tillman","",1979
"98","Billy Reid","1",1979
"99","Greg Joyner","",1979
"100","Matt White","",1979
"101","Tiny Pinder","",1979
"102","Larry Williams","",1979
"103","Carl McPipe","",1979
"104","Allen Leavell","10",1979
"105","Curtis Watkins","",1979
"106","Steve Schall","",1979
"107","Mark Eaton","11",1979
"108","Marshall Ashford","",1979
"109","Ernie Cobb","",1979
"110","Marvin Delph","",1979
"111","Truman Claytor","",1979
"112","Joe Manning","",1979
"113","Phil Abney","",1979
"114","Steve Smith","",1979
"115","Tony Smith","",1979
"116","Derrick Mayes","",1979
"117","Greg Guye","",1979
"118","Jim Mitchem","",1979
"119","Bob Bender","",1979
"120","Ray Ellis","",1979
"121","Dwight Williams","",1979
"122","Odell Ball","",1979
"123","Dan Hartshorne","",1979
"124","Collie Davis","",1979
"125","Terry Knight","",1979
"126","Bob Roma","",1979
"127","Dale Shackelford","",1979
"128","Garcia Hopkins","",1979
"129","Paul Poe","",1979
"130","Steve Castellan","",1979
"131","Steve Skaggs","",1979
"132","Ken Jones","",1979
"133","Mike Eversley","",1979
"134","Marc Coleman","",1979
"135","Jim Strickland","",1979
"136","Dirk Ewing","",1979
"137","Ren Watson","",1979
"138","Stan Ray","",1979
"139","Jene Grey","",1979
"140","Jeff Tropf","",1979
"141","Tim Waterman","",1979
"142","Bobby Willis","",1979
"143","Rich Valavicius","",1979
"144","John Johnson","",1979
"145","Nick Daniels","",1979
"146","Tyrone Branyan","",1979
"147","Ollie Matson","",1979
"148","Keith McDonald","",1979
"149","Glenn Sudhop","",1979
"150","Rodney Lee","",1979
"151","Mark Haymore","",1979
"152","Billy Tucker","",1979
"153","Tony Warren","",1979
"154","Henry Hollingsworth","",1979
"155","Mario Butler","",1979
"156","Larry Spicer","",1979
"157","Brian Magid","",1979
"158","Renaldo Lawrence","",1979
"159","Willie Pounds","",1979
"160","John Goedeke","",1979
"161","Delbert Watson","",1979
"162","Matt Teahan","",1979
"163","Rick Raivio","",1979
"164","Tony Vann","",1979
"165","Charles Jones","15",1979
"166","Jo Jo Walters","",1979
"167","Milt Huggins","",1979
"168","Kevin Sinnett","",1979
"169","Tim Joyce","",1979
"170","Val Bracey","",1979
"171","James Jackson","",1979
"172","Brett Wyatt","",1979
"173","Ricky Free","",1979
"174","Roger Lapham","",1979
"175","Gene Ransom","",1979
"176","Mike Dodd","",1979
"177","Stan Eckwood","",1979
"178","Cedric Oliver","",1979
"179","Emmett Lewis","",1979
"180","Coby Leavitt","",1979
"181","Gary Wilson","",1979
"182","Eddie McLeod","",1979
"183","Hosea Champine","",1979
"184","Ray Hooker","",1979
"185","Paul Dawkins","1",1979
"186","Alton Byrd","",1979
"187","Willie Polk","",1979
"188","Terry Peavy","",1979
"189","Gordon Thomas","",1979
"190","Marvin Thoms","",1979
"191","Eric Fleisher","",1979
"192","Kevin Heenan","",1979
"193","Chris Fahrbach","",1979
"194","Greg Hunter","",1979
"195","Kelvin Small","",1979
"196","Chad Nelson","",1979
"197","Cortez Collins","",1979
"198","Keith McCord","1",1979
"199","Glen Fine","",1979
"200","Russell Saunders","",1979
"201","Korky Nelson","",1979
"202","Steve Martin","",1979
"1","Joe Barry Carroll","10",1980
"2","Darrell Griffith","10",1980
"3","Kevin McHale","13",1980
"4","Kelvin Ransey","6",1980
"5","James Ray","3",1980
"6","Mike O'Koren","8",1980
"7","Mike Gminski","14",1980
"8","Andrew Toney","8",1980
"9","Michael Brooks","6",1980
"10","Ronnie Lester","6",1980
"11","Kiki Vandeweghe","13",1980
"12","Mike Woodson","11",1980
"13","Rickey Brown","5",1980
"14","Wes Matthews","9",1980
"15","Reggie Johnson","4",1980
"16","Hawkeye Whitney","2",1980
"17","Larry Drew","10",1980
"18","Don Collins","6",1980
"19","John Duren","3",1980
"20","Bill Hanzlik","10",1980
"21","Monti Davis","1",1980
"22","Chad Kinch","1",1980
"23","Carl Nicks","3",1980
"24","Larry Smith","13",1980
"25","Jeff Ruland","8",1980
"26","Sam Worthen","2",1980
"27","John Stroud","1",1980
"28","Craig Shelton","2",1980
"29","Louis Orr","8",1980
"30","Kenny Natt","3",1980
"31","Wayne Robinson","1",1980
"32","David Lawrence","",1980
"33","Bruce Collins","",1980
"34","Roosevelt Bouie","",1980
"35","Rick Mahorn","18",1980
"36","DeWayne Scales","3",1980
"37","Butch Carter","6",1980
"38","Terry Stotts","",1980
"39","Michael Wiley","2",1980
"40","Dick Miller","1",1980
"41","Jawann Oldham","10",1980
"42","Kimberly Belton","",1980
"43","Billy Williams","",1980
"44","Clyde Austin","",1980
"45","Brad Branson","2",1980
"46","Arnette Hallman","",1980
"47","Kurt Nimphius","8",1980
"48","Eddie Lee","",1980
"49","John Virgil","",1980
"50","James Wilkes","3",1980
"51","Ronnie Valentine","1",1980
"52","Lowes Moore","3",1980
"53","Stuart House","",1980
"54","Ron Perry","",1980
"55","Wayne Abrams","",1980
"56","Mike Harper","2",1980
"57","Dave Britton","1",1980
"58","Kurt Rambis","14",1980
"59","John Campbell","",1980
"60","Lavon Mercer","",1980
"61","Rich Yonakor","1",1980
"62","Tony Murphy","",1980
"63","Al Beal","",1980
"64","Jonathan Moore","",1980
"65","Doug TRUE","",1980
"66","Carl Bailey","1",1980
"67","Reggie Gaines","",1980
"68","Ron Jones","",1980
"69","Donald Newman","",1980
"70","Darwin Cook","8",1980
"71","Robert Scott","",1980
"72","Alan Taylor","",1980
"73","Sammie Ellis","",1980
"74","Ron Charles","",1980
"75","Rory Sparrow","12",1980
"76","Ed Odom","",1980
"77","Murray Brown","",1980
"78","Rich Branning","",1980
"79","Kelvin Henderson","",1980
"80","David Johnson","",1980
"81","Francois Wise","",1980
"82","Joseph Chmelich","",1980
"83","Calvin Roberts","",1980
"84","Dean Hunger","",1980
"85","Billy Bryant","",1980
"86","Jeff Wolf","",1980
"87","Tony Jackson","1",1980
"88","Leroy Stampley","",1980
"89","Gary Ray Hooker","",1980
"90","Harold Hubbard","",1980
"91","Ron Baxter","",1980
"92","Kevin Hamilton","",1980
"93","Tony Fuller","1",1980
"94","Wally West","",1980
"95","Don Carlino","",1980
"96","Mike Campbell","",1980
"97","James Patrick","",1980
"98","Aaron Curry","",1980
"99","Wally Rank","1",1980
"100","Joe Galvin","",1980
"101","LaVon Williams","",1980
"102","Larry Belin","",1980
"103","Darrell Allums","1",1980
"104","William Carey","",1980
"105","Daryl Strickland","",1980
"106","Albert Jones","",1980
"107","Gib Hinz","",1980
"108","Kevin Blakley","",1980
"109","Ken Jones","",1980
"110","Mike Doyle","",1980
"111","Mark Stevens","",1980
"112","Lenny Horton","",1980
"113","Jim Swaney","",1980
"114","Rick Raivio","",1980
"115","Rufus Harris","",1980
"116","Tony Turner","",1980
"117","Neil Bresnahan","",1980
"118","Ken Cunningham","",1980
"119","Ernie Hill","",1980
"120","Bernard Rencher","",1980
"121","Rick Mattick","",1980
"122","Londale Theus","",1980
"123","Antonio Martin","",1980
"124","Randy Owens","",1980
"125","Perry Mirkovich","",1980
"126","Leroy Jackson","",1980
"127","Ken Dancy","",1980
"128","Kelvin Hicks","",1980
"129","Dean Uthoff","",1980
"130","Everette Jefferson","",1980
"131","Trent Grooms","",1980
"132","Alex Gilbert","",1980
"133","Mike Zagardo","",1980
"134","Coby Leavitt","",1980
"135","Jim Strickland","",1980
"136","Donald Cooper","",1980
"137","Odis Boddie","",1980
"138","Kenny Evans","",1980
"139","Carl Pierce","",1980
"140","Dave Colescott","",1980
"141","Lorenzo Romar","5",1980
"142","Robert Byrd","",1980
"143","Tommy Springer","",1980
"144","Larry Spicer","",1980
"145","Paul Anderson","",1980
"146","Charles Naddaff","",1980
"147","Leroy Berry","",1980
"148","Gig Sims","",1980
"149","Tony Forch","",1980
"150","Bobby Turner","",1980
"151","Karl Godine","",1980
"152","Joe Nehls","",1980
"153","Allan Zahn","",1980
"154","Arnold McDowell","",1980
"155","Ron White","",1980
"156","Charles Hightower","",1980
"157","Ron Williams","",1980
"158","Carl Ervin","",1980
"159","Richard Smith","",1980
"160","Les Hanson","",1980
"161","Leroy Loggins","",1980
"162","Kurt Kanaskie","",1980
"163","Jim Brandon","",1980
"164","Modzel Greer","",1980
"165","Lloyd Terry","",1980
"166","Jim Ellinghausen","",1980
"167","Steve Stielper","",1980
"168","John Stroeder","2",1980
"169","Clarence Kea","2",1980
"170","Rich Valavicious","",1980
"171","James Salters","",1980
"172","Bill Bailey","",1980
"173","Rosie Barnes","",1980
"174","Keith Valentine","",1980
"175","Jim Conolly","",1980
"176","Al Dutch","",1980
"177","Martin Lemelle","",1980
"178","Melvin Hooker","",1980
"179","Steve Wright","",1980
"180","Terry Dupris","",1980
"181","Paul Renfro","",1980
"182","Billy Reid","1",1980
"183","Jay Shidler","",1980
"184","Jim Graziano","",1980
"185","Barry Young","",1980
"186","Scott Rogers","",1980
"187","Melvin Crafter","",1980
"188","Rich Boucher","",1980
"189","Ken Williams","",1980
"190","Don Wiley","",1980
"191","Clinton Wyatt","",1980
"192","Al Williams","",1980
"193","Charley Cole","",1980
"194","Del Yarbrough","",1980
"195","Stanley Lamb","",1980
"196","Keith French","",1980
"197","Jim Tillman","",1980
"198","Luke Griffin","",1980
"199","Brian Jung","",1980
"200","Tim Higgins","",1980
"201","Leroy Coleman","",1980
"202","Earl Sango","",1980
"203","Billy Foster","",1980
"204","John Bates","",1980
"205","Dave Kufeld","",1980
"206","Tom Morgan","",1980
"207","Don Youman","",1980
"208","Gerald Ross","",1980
"209","Steve Schall","",1980
"210","Melvin Crayton","",1980
"211","Randy Carroll","",1980
"212","Kent Williams","",1980
"213","Joe Hand","",1980
"214","John Nolan","",1980
"1","Mark Aguirre","13",1981
"2","Isiah Thomas","13",1981
"3","Buck Williams","17",1981
"4","Al Wood","6",1981
"5","Danny Vranes","7",1981
"6","Orlando Woolridge","13",1981
"7","Steve Johnson","10",1981
"8","Tom Chambers","16",1981
"9","Rolando Blackman","13",1981
"10","Albert King","9",1981
"11","Frank Johnson","10",1981
"12","Kelly Tripucka","10",1981
"13","Danny Schayes","18",1981
"14","Herb Williams","18",1981
"15","Jeff Lamp","6",1981
"16","Darnell Valentine","9",1981
"17","Kevin Loder","3",1981
"18","Ray Tolbert","5",1981
"19","Mike McGee","9",1981
"20","Larry Nance","13",1981
"21","Alton Lister","16",1981
"22","Franklin Edwards","7",1981
"23","Charles Bradley","3",1981
"24","Jay Vincent","9",1981
"25","Tracy Jackson","3",1981
"26","Brian Jackson","",1981
"27","Howard Wood","1",1981
"28","Gene Banks","6",1981
"29","Eddie Johnson","17",1981
"30","Ed Rains","2",1981
"31","Danny Ainge","14",1981
"32","Mike Olliver","",1981
"33","Sam Williams","4",1981
"34","Ken Green","1",1981
"35","Charles Davis","8",1981
"36","Ray Blume","1",1981
"37","Al Leslie","",1981
"38","Clyde Bradshaw","",1981
"39","Harvey Knuckles","",1981
"40","Greg Cook","",1981
"41","Claude Gregory","2",1981
"42","Elvis Rolle","",1981
"43","Elston Turner","8",1981
"44","Steve Lingenfelter","2",1981
"45","Ed Turner","",1981
"46","Vernon Smith","",1981
"47","Art Housey","",1981
"48","Mike Ferrara","",1981
"49","David Burns","1",1981
"50","Derek Holcomb","",1981
"51","Zam Fredrick","",1981
"52","Rudy Macklin","3",1981
"53","Mark Radford","2",1981
"54","Jim Smith","2",1981
"55","Mickey Dillard","1",1981
"56","Carlton Neverson","",1981
"57","Frank Brickowski","12",1981
"58","Curtis Berry","",1981
"59","Russell Bowers","",1981
"60","Purvis Miller","",1981
"61","Petur Gudmundsson","4",1981
"62","Sam Clancy","",1981
"63","Wayne McKoy","",1981
"64","Tom Baker","",1981
"65","Ron Cornelius","",1981
"66","Craig Dykema","1",1981
"67","Mark Smith","",1981
"68","Ernest Graham","",1981
"69","John Johnson","",1981
"70","Eddie Moss","",1981
"71","John May","",1981
"72","Edmund Sherod","",1981
"73","George Torres","",1981
"74","Ethan Martin","",1981
"75","Kevin Figaro","",1981
"76","Lewis Lloyd","7",1981
"77","Lee Raker","",1981
"78","Kenny Dennard","3",1981
"79","Ron Davis","",1981
"80","Terry Adolph","",1981
"81","Larry Spriggs","5",1981
"82","B. B. Davis","",1981
"83","Rolando Frazier","",1981
"84","Oliver Lee","",1981
"85","Pete Verhoeven","6",1981
"86","Alex Bradley","1",1981
"87","Earl Belcher","",1981
"88","Kevin McKenna","6",1981
"89","Don Koonce","",1981
"90","Kris Anderson","",1981
"91","Stanley Williams","",1981
"92","Rynn Wright","",1981
"93","Pete Budko","",1981
"94","George DeVone","",1981
"95","Joe Cooper","3",1981
"96","Ken Page","",1981
"97","Mike Clark","",1981
"98","Steve Krafscisin","",1981
"99","Andra Griffin","",1981
"100","Dennis Isbell","",1981
"101","Willie Sims","",1981
"102","Hank McDowell","6",1981
"103","Garry Witts","1",1981
"104","U. S. Reed","",1981
"105","Hasan Houston","",1981
"106","George Peterson","",1981
"107","Herb Andrew","",1981
"108","Johnny Nash","",1981
"109","Jim Wright","",1981
"110","Mike Rhodes","",1981
"111","Craig Watts","",1981
"112","Paul Heuerman","",1981
"113","Kelvin Troy","",1981
"114","Steve Craig","",1981
"115","Glen Grunwald","",1981
"116","Karl Bakowski","",1981
"117","Vince Brookins","",1981
"118","Kevin Lynam","",1981
"119","Kevin Sprewer","",1981
"120","Aaron Strayhorn","",1981
"121","Darryl Warwick","",1981
"122","Earl Banks","",1981
"123","Mike Pepper","",1981
"124","Alonzo Weatherley","",1981
"125","Robert Williams","",1981
"126","Carter Scott","",1981
"127","Fred Cowan","",1981
"128","Brian Walker","",1981
"129","Robert Fronk","",1981
"130","Roger Burkman","1",1981
"131","Roshern Arnie","",1981
"132","John Blair","",1981
"133","Norman Shavers","",1981
"134","Kevin Singleton","",1981
"135","Pete Harris","",1981
"136","Jo Jo Hunter","",1981
"137","Steve Waite","",1981
"138","Michael Thomas","",1981
"139","Danny Davis","",1981
"140","Greg Nance","",1981
"141","Rod Robertson","",1981
"142","Andre Smith","",1981
"143","Mike Robinson","",1981
"144","Kevin Vesey","",1981
"145","Tom Sienkiewicz","",1981
"146","Randy Johnson","",1981
"147","Greg Manning","",1981
"148","Robby Dosty","",1981
"149","Randy Martel","",1981
"150","Clinton Wheeler","2",1981
"151","Joe Faine","",1981
"152","Larry McKinney","",1981
"153","Julius Wayne","",1981
"154","Scott Williams","",1981
"155","Terry Cramer","",1981
"156","Mark Minderman","",1981
"157","Larry Petty","",1981
"158","David Williams","",1981
"159","Lewis Latimore","",1981
"160","John Crawford","",1981
"161","Tom Seaman","",1981
"162","David Kennedy","",1981
"163","Joe Schoen","",1981
"164","Ken Webb","",1981
"165","Bobby Cattage","2",1981
"166","Glen Marcus","",1981
"167","Gilbert Salinas","",1981
"168","Todd Haynes","",1981
"169","Curtis Redding","",1981
"170","Mike Howard","",1981
"171","Yasutaka Okayama","",1981
"172","Stanley Brewer","",1981
"173","Randy Smithson","",1981
"174","Len Hatzenbeller","",1981
"175","Ben Mitchell","",1981
"176","John Smith","",1981
"177","Brian O'Connor","",1981
"178","Bob Bartholomew","",1981
"179","Jay Triano","",1981
"180","Steve Risley","",1981
"181","Mike Brkovich","",1981
"182","George Morrow","",1981
"183","Frank Gilroy","",1981
"184","John Hollinden","",1981
"185","Eddie Baker","",1981
"186","Rudy Williams","",1981
"187","Paul Roba","",1981
"188","Ken Ollie","",1981
"189","Howard Thompkins","",1981
"190","Art Jones","",1981
"191","Andrew Burton","",1981
"192","Doug Murrey","",1981
"193","Eddie Brown","",1981
"194","Mike Perry","",1981
"195","Scott Whitley","",1981
"196","Sid Williams","",1981
"197","Terry Martin","",1981
"198","Marty Headd","",1981
"199","Leonel Marquetti","",1981
"200","Brian Johnson","",1981
"201","Chip Rucker","",1981
"202","Ron Wister","",1981
"203","Greg McCray","",1981
"204","Scott Bosanko","",1981
"205","Melvin Maxwell","",1981
"206","Vic Sison","",1981
"207","Joe Merten","",1981
"208","Greg Boone","",1981
"209","Mike Frazier","",1981
"210","Tony Gwynn","",1981
"211","Derrick Rowland","1",1981
"212","Ralton Way","",1981
"213","Barry Brooks","",1981
"214","Mark Wilson","",1981
"215","Rodney Benson","",1981
"216","Kenny Easley","",1981
"217","Steve Cochran","",1981
"218","Kevin Rogers","",1981
"219","Alvin Brooks","",1981
"220","Felton Sealey","",1981
"221","Artie Green","",1981
"222","Ken Matthews","",1981
"223","Pete Mullenberg","",1981
"1","James Worthy","12",1982
"2","Terry Cummings","18",1982
"3","Dominique Wilkins","15",1982
"4","Bill Garnett","4",1982
"5","LaSalle Thompson","15",1982
"6","Trent Tucker","11",1982
"7","Quintin Dailey","10",1982
"8","Clark Kellogg","5",1982
"9","Cliff Levingston","11",1982
"10","Keith Edmonson","2",1982
"11","Fat Lever","11",1982
"12","John Bagley","11",1982
"13","Sleepy Floyd","13",1982
"14","Lester Conner","12",1982
"15","David Thirdkill","5",1982
"16","Terry Teagle","11",1982
"17","Brook Steppe","5",1982
"18","Ricky Pierce","16",1982
"19","Rob Williams","2",1982
"20","Paul Pressey","11",1982
"21","Eddie Phillips","1",1982
"22","Mark McNamara","8",1982
"23","Darren Tillis","2",1982
"24","Oliver Robinson","1",1982
"25","Bryan Warrick","4",1982
"26","Ricky Frazier","",1982
"27","Fred Roberts","13",1982
"28","Dave Magley","1",1982
"29","Scott Hastings","11",1982
"30","Wallace Bryant","3",1982
"31","Rod Higgins","13",1982
"32","Richard Anderson","6",1982
"33","Linton Townes","3",1982
"34","Vince Taylor","1",1982
"35","Derek Smith","9",1982
"36","J.J. Anderson","3",1982
"37","Audie Norris","3",1982
"38","Wayne Sappleton","1",1982
"39","Kevin Magee","",1982
"40","Guy Morgan","1",1982
"41","Dwight Anderson","1",1982
"42","Jeff Taylor","2",1982
"43","Jose Slaughter","1",1982
"44","Mike Gibson","2",1982
"45","Russ Schoene","4",1982
"46","Tony Guy","",1982
"47","Michael Wilson","3",1982
"48","Craig Hodges","10",1982
"49","Steve Trumbo","",1982
"50","Corny Thompson","1",1982
"51","Jim Johnstone","1",1982
"52","Dan Caldwell","",1982
"53","Tyrone Adams","",1982
"54","Willie Jones","",1982
"55","Jerry Eaves","4",1982
"56","Joe Kopicki","3",1982
"57","Craig Tucker","",1982
"58","Mike Largey","",1982
"59","Jimmy Black","",1982
"60","Chris Engler","5",1982
"61","Charles Pittman","4",1982
"62","Roylin Bond","",1982
"63","Chuck Nevitt","9",1982
"64","Willie Redden","",1982
"65","John Greig","1",1982
"66","Phillip Lockett","",1982
"67","Mike Hackett","",1982
"68","Dale Solomon","",1982
"69","Perry Moss","2",1982
